Jugador,count
Charly Rodríguez,1
Andrés Sánchez,1
Juan Sanabria,1
Sebastien Salles-Lamonge,1
José Saldívar,1
Carlos Salcedo,1
Patricio Salas,1
Jorge Ruvalcaba,1
Franco Russo,1
Marcel Ruiz,1
Brian Rubio,1
Rubio Rubin,1
Fernando Rubén González,1
Carlos Rotondi,1
Franco Rossano,1
Kevin Rosero,1
Bryan Roque,1
Salomón Rondón,1
Luis Romo,1
Johan Rojas,1
Salvador Rodríguez,1
Michell Rodríguez,1
Lucas Rodríguez,1
Jorge Rodríguez,1
Jesús Rodríguez,1
David Rodriguez,1
Hugo Isaác Rodríguez,1
Rodrigo Huescas,1
Nicolás Ibáñez,1
Antonio Briseño,1
Diego Campillo,1
Diber Cambindo,1
Raúl Camacho,1
Francisco Calvo,1
Cristian Calderón,1
José Caicedo,1
Jhonder Cádiz,1
Sebastián Cáceres,1
Luciano Cabral,1
Gustavo Cabral,1
Juan Brunetta,1
Isaác Brizuela,1
Cristian Borja,1
Borja Bastón,1
Léo Bonatini,1
Franck Boli,1
Domingo Blanco,1
Alfonso Blanco Antúnez,1
Unai Bilbao,1
Germán Berterame,1
Jorge Berlanga,1
Pablo Bennevendo Peña,1
Darío Benedetto,1
Nicolás Benedetti,1
Fernando Beltrán,1
Paul Bellón,1
Sergio Canales,1
Camilo Cándido,1
Luis Cárdenas,1
Rafael Carioca,1
Cade Cowell,1
Rodolfo Cota,1
Jordi Cortizo,1
Rogelio Cortéz Pineda,1
José Corona,1
Joe Corona,1
Jesús Corona,1
Francisco Contreras,1
Bryan Colula,1
Josué Colmán,1
Ronaldo Cisneros,1
Ricardo Chávez Soto,1
Mateo Chávez,1
Luís Cervantes,1
Lucas Cavallini,1
Manuel Castro,1
Raúl Castillo,1
José Castillo Pérez,1
Moises Castillo,1
Klever Castillo,1
Kevin Castañeda,1
Guilherme Carvalho,1
Stephano Carrillo,1
Jordan Carrillo,1
Héctor Carranza,1
Alán Bautista,1
Abraham Bass,1
Jürgen Damm,1
AlessandroTagle,1
Jaime Alvarez,1
Gael Álvarez,1
Efrain Alvarez,1
Daniel Álvarez,1
Antonio Álvarez,1
Ventura Alvarado,1
Roberto Alvarado,1
Alfonso Alvarado,1
Carlos Alonso Vargas,1
Facundo Almada,1
Guillermo Allison,1
Luis Alfonso Rodríguez,1
Jordy Alcivar,1
Sergio Barreto,1
Jesús Alcantar,1
Gil Alcalá,1
Jesús Alberto Angulo,1
Arnaud Ake,1
Jorge Agustín Rodríguez,1
Rodrigo Aguirre,1
Gaddi Aguirre,1
Érick Aguirre,1
Eduardo Aguirre,1
Eduardo Águila,1
Sergio Aguayo,1
Daniel Aceves,1
Kevin Álvarez,1
Luis Amarilla,1
Frankie Amaya,1
Bruno Amione,1
Pablo Barrera,1
Jaine Barreiro,1
Diego Barbosa,1
Víctor Barajas,1
Fidel Barajas,1
Kevin Balanta,1
Claudio Baeza,1
Tomás Badaloni,1
Ettson Ayon,1
Ali Ávila,1
Víctor Arteaga,1
Gerardo Arteaga,1
Ramiro Árciga,1
Fernando Arce Jr.,1
Néstor Araujo,1
Maximiliano Araújo,1
Diego Araujo,1
Pedro Aquino,1
Javier Aquino,1
José Antonio Rodríguez,1
Jesús Angulo,1
Brayan Angulo,1
Luis Ángel Malagón,1
Alejandro Andrade,1
Esteban Andrada,1
Aldo Cruz,1
José David Ramírez,1
Avilés Hurtado,1
Faber Gil,1
Jair González,1
Carlos González Espínola,1
Hugo González Durán,1
Pablo González Díaz,1
Bryan González,1
Armando González,1
Alfonso González,1
Jaime Gómez Valencia,1
Luis Gómez,1
Emiliano Gómez,1
Diego Gómez,1
Alejandro Gómez,1
André-Pierre Gignac,1
Aitor García,1
Giorgos Giakoumakis,1
Jesús Garza,1
César Garza,1
Bryan Garnica,1
Mateo García,1
Luis García,1
Luan Garcia,1
José García,1
Jorge García,1
Gael García,1
Denzell García,1
Brian García,1
Jonathan González,1
Owen González,1
Fernando Gorriarán,1
Ismael Govea,1
Carlos Acevedo,1
César Huerta,1
Héctor Holguín,1
Ozziel Herrera,1
Alberto Herrera,1
Sebastián Hernández,1
Pedro Hernández,1
Jesús Hernández,1
Javier Hernández,1
Illian Hernandez,1
Diego Hernández,1
Helinho,1
Nahuel Guzmán,1
Ricardo Gutiérrez,1
Erick Gutiérrez,1
Edson Gutiérrez,1
Luis Gutiérrez Castellanos,1
Alexis Gutiérrez,1
Emanuel Gularte,1
Daniel Guillén,1
Carlos Guillen,1
Edgar Guerra,1
Javier Güemez,1
Andrés Guardado,1
Omar Govea,1
Amaury García,1
Bryan Gamboa,1
Víctor Dávila,1
Joel Domínguez,1
Edson,1
Emmanuel Echeverría,1
Rafael Durán,1
Rubén Duarte,1
Anderson Duarte,1
Rodrigo Dourado,1
Jonathan dos Santos,1
Dória,1
Misael Domínguez,1
Julio Domínguez,1
Juan Domínguez,1
Jose Domínguez,1
Idekel Domínguez,1
Jesús Gallardo,1
Alexei Dominguez,1
Willer Ditta,1
Javairô Dilrosun,1
Jair Díaz,1
Nicolás Díaz Huincales,1
Benny Díaz,1
Nelson Deossa,1
Arturo Delgado,1
Everardo Del Villar,1
Gustavo Del Prete,1
Sergio De los Ríos,1
Diego De Buen,1
José Eduardo Castillo,1
Javier Eduardo López,1
Jorge Eduardo Sánchez,1
Francisco Eduardo Venegas,1
Benjamín Galdames,1
Rogelio Funes Mori,1
Raymundo Fulgencio,1
Adonis Frías,1
Ramiro Franco,1
Alexis Francisco Peña,1
Marcelo Flores,1
Leonardo Flores,1
Iker Fimbres,1
Álvaro Fidalgo,1
Gustavo Ferrareis,1
Rafael Fernández,1
Gabriel Fernández,1
Carlos Felipe Rodríguez,1
Lorenzo Faravelli,1
Franco Fagúndez,1
José Eulogio,1
Oscar Estupiñan,1
Ángel Estrada,1
Luis Espinoza,1
Dagoberto Espinoza,1
Alonso Escoboza,1
Kevin Escamilla,1
Carlos Ernesto Cisneros,1
Robert Ergas,1
Uroš Đurđević,1
